Meat and livestock monthly U.S. trade,,,,,,,,,,,,,,,
"Import/export, country code and name 1/ 2/",,,Sep-18,Oct-18,Nov-18,Dec-18,Jan-19,Feb-19,Mar-19,Apr-19,May-19,Jun-19,Jul-19,Aug-19,Sep-19
"Beef and veal imports
(Carcass wt. 1,000 pounds)",1220,Canada,"73,930","67,488","64,885","64,128","63,833","64,249","79,639","64,728","69,334","78,301","71,276","78,671","72,839"
,6021,Australia,"62,277","64,110","56,642","41,324","59,593","30,095","54,879","65,579","77,930","56,329","67,823","66,477","60,376"
,2010,Mexico,"41,115","42,887","44,446","40,460","46,876","46,460","48,508","50,372","49,661","46,000","47,916","48,738","47,036"
,6141,New Zealand,"18,053","20,442","18,808","27,958","38,674","36,599","46,013","48,889","57,109","50,257","40,654","28,538","14,560"
,2190,Nicaragua,"17,773","14,079","11,100","12,765","16,334","14,791","15,748","14,033","11,775","10,350","10,531","13,899","15,484"
,3510,Brazil,"14,363","11,776","11,366","11,701","11,538","10,314","12,874","11,671","13,107","12,864","13,178","18,076","16,463"
,3550,Uruguay,"8,727","10,252","6,943","11,604","10,549","8,730","10,411","15,301","13,606","10,253","10,994","7,023","7,022"
,2230,Costa Rica,"1,675","2,128","1,387","1,736","1,962","2,406","1,228","1,240","1,837","2,077","2,044","2,282","2,193"
,4190,Ireland,543,490,491,,916,631,409,620,955,432,"1,541","1,410","1,074"
,4210,Netherlands,344,267,413,123,463,218,271,215,270,143,176,206,454
,2150,Honduras,463,515,590,400,520,369,207,167,,,,,114
,5880,Japan,61,105,81,35,"1,680",203,87,74,72,75,54,74,102
,3570,Argentina,,,,1,,36,2,7,5,619,766,455,412
,4279,France,28,24,34,105,43,21,39,34,18,21,21,13,29
,3370,Chile,54,0,,,1,,,1,,,,,
,4550,Poland,8,,8,,5,,4,4,3,8,,4,4
,4510,Lithuania,0,7,6,,11,5,,,7,,2,,4
,4791,Croatia,,,2,,3,,3,,,3,,4,
,7920,Namibia,,,,,,,,,,,,3,
,4700,Spain,,0,,0,,,,,,,,,
,,Other countries,0,0,0,0,0,0,0,0,0,0,0,0,0
,,"Total
 ","239,415","234,572","217,203","212,339","253,001","215,127","270,322","272,933","295,688","267,731","266,976","265,872","238,166"
"Beef and veal exports
(Carcass wt. 1,000 pounds)",5880,Japan,"74,230","71,626","71,903","61,253","68,255","56,897","68,916","61,469","77,231","73,094","77,363","71,083","63,258"
,5800,South Korea,"50,569","53,225","52,324","49,482","46,616","45,796","54,657","60,043","63,186","67,724","69,105","60,015","56,259"
,2010,Mexico,"38,538","39,366","36,339","38,286","38,754","37,047","34,481","37,580","37,600","34,460","39,364","34,609","32,376"
